--------- beginning of main
--------- beginning of system
01-13 01:39:58.911 13639 13724 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 01:40:08.138 13639 13724 D SnpeWhyDistractionNativ: Frame number: 96, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0637753, 0.0, 0.0], modelConfidence = [0.4623682, 0.0, 0.0]
01-13 01:40:08.218 13639 13724 D SnpeWhyDistractionNativ: Frame number: 97, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:08.301 13639 13724 D SnpeWhyDistractionNativ: Frame number: 98, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:08.441 13639 13724 D SnpeWhyDistractionNativ: Frame number: 99, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0980165, 0.0, 0.0], modelConfidence = [0.4015457, 0.0, 0.0]
01-13 01:40:08.509 13639 13724 D SnpeWhyDistractionNativ: Frame number: 100, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:08.606 13639 13724 D SnpeWhyDistractionNativ: Frame number: 101, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:08.742 13639 13724 D SnpeWhyDistractionNativ: Frame number: 102, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0133523, 0.0, 0.0], modelConfidence = [0.4759397, 0.0, 0.0]
01-13 01:40:08.835 13639 13724 D SnpeWhyDistractionNativ: Frame number: 103, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:08.908 13639 13724 D SnpeWhyDistractionNativ: Frame number: 104, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:09.066 13639 13724 D SnpeWhyDistractionNativ: Frame number: 105, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0597297, 0.0, 0.0], modelConfidence = [0.42680633, 0.0, 0.0]
01-13 01:40:09.156 13639 13724 D SnpeWhyDistractionNativ: Frame number: 106, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:09.214 13639 13724 D SnpeWhyDistractionNativ: Frame number: 107, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:09.326 13639 13724 D SnpeWhyDistractionNativ: Frame number: 108, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0521202, 0.0, 0.0], modelConfidence = [0.46545467, 0.0, 0.0]
01-13 01:40:09.428 13639 13724 D SnpeWhyDistractionNativ: Frame number: 109, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:09.523 13639 13724 D SnpeWhyDistractionNativ: Frame number: 110, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:09.631 13639 13724 D SnpeWhyDistractionNativ: Frame number: 111, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.987716, 0.0, 0.0], modelConfidence = [0.56902707, 0.0, 0.0]
01-13 01:40:09.745 13639 13724 D SnpeWhyDistractionNativ: Frame number: 112, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:09.817 13639 13724 D SnpeWhyDistractionNativ: Frame number: 113, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:09.983 13639 13724 D SnpeWhyDistractionNativ: Frame number: 114, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0015423, 0.0, 0.0], modelConfidence = [0.45088392, 0.0, 0.0]
01-13 01:40:10.085 13639 13724 D SnpeWhyDistractionNativ: Frame number: 115, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:10.145 13639 13724 D SnpeWhyDistractionNativ: Frame number: 116, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:10.245 13639 13724 D SnpeWhyDistractionNativ: Frame number: 117, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0570235, 0.0, 0.0], modelConfidence = [0.4035601, 0.0, 0.0]
01-13 01:40:10.340 13639 13724 D SnpeWhyDistractionNativ: Frame number: 118, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:10.434 13639 13724 D SnpeWhyDistractionNativ: Frame number: 119, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:10.582 13639 13724 D SnpeWhyDistractionNativ: Frame number: 120, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0846921, 0.0, 0.0], modelConfidence = [0.40498233, 0.0, 0.0]
01-13 01:40:10.677 13639 13724 D SnpeWhyDistractionNativ: Frame number: 121, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:10.723 13639 13724 D SnpeWhyDistractionNativ: Frame number: 122, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:10.839 13639 13724 D SnpeWhyDistractionNativ: Frame number: 123, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0743401, 0.0, 0.0], modelConfidence = [0.41735125, 0.0, 0.0]
01-13 01:40:10.905 13639 13724 D SnpeWhyDistractionNativ: Frame number: 124, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:11.010 13639 13724 D SnpeWhyDistractionNativ: Frame number: 125, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:11.162 13639 13724 D SnpeWhyDistractionNativ: Frame number: 126, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0250486, 0.0, 0.0], modelConfidence = [0.52652407, 0.0, 0.0]
