--------- beginning of main
--------- beginning of system
01-13 00:37:27.645  4022  4212 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:37:35.978  4022  4212 D SnpeWhyDistractionNativ: Frame number: 87, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7123286, 0.0, 0.0], modelConfidence = [0.6064022, 0.0, 0.0]
01-13 00:37:36.045  4022  4212 D SnpeWhyDistractionNativ: Frame number: 88, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:36.133  4022  4212 D SnpeWhyDistractionNativ: Frame number: 89, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:36.254  4022  4212 D SnpeWhyDistractionNativ: Frame number: 90, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.81413126, 0.0, 0.0], modelConfidence = [0.65879345, 0.0, 0.0]
01-13 00:37:36.344  4022  4212 D SnpeWhyDistractionNativ: Frame number: 91, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:36.431  4022  4212 D SnpeWhyDistractionNativ: Frame number: 92, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:36.560  4022  4212 D SnpeWhyDistractionNativ: Frame number: 93, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.9283608, 0.0, 0.0], modelConfidence = [0.47573194, 0.0, 0.0]
01-13 00:37:36.641  4022  4212 D SnpeWhyDistractionNativ: Frame number: 94, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:36.735  4022  4212 D SnpeWhyDistractionNativ: Frame number: 95, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:36.858  4022  4212 D SnpeWhyDistractionNativ: Frame number: 96, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0054121, 0.0, 0.0], modelConfidence = [0.52148753, 0.0, 0.0]
01-13 00:37:36.951  4022  4212 D SnpeWhyDistractionNativ: Frame number: 97, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:37.048  4022  4212 D SnpeWhyDistractionNativ: Frame number: 98, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:37.168  4022  4212 D SnpeWhyDistractionNativ: Frame number: 99, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0005993, 0.0, 0.0], modelConfidence = [0.5621129, 0.0, 0.0]
01-13 00:37:37.236  4022  4212 D SnpeWhyDistractionNativ: Frame number: 100, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:37.329  4022  4212 D SnpeWhyDistractionNativ: Frame number: 101, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:37.470  4022  4212 D SnpeWhyDistractionNativ: Frame number: 102, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0841924, 0.0, 0.0], modelConfidence = [0.3774874, 0.0, 0.0]
01-13 00:37:37.548  4022  4212 D SnpeWhyDistractionNativ: Frame number: 103, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:37.628  4022  4212 D SnpeWhyDistractionNativ: Frame number: 104, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:37.770  4022  4212 D SnpeWhyDistractionNativ: Frame number: 105, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0233909, 0.0, 0.0], modelConfidence = [0.5132057, 0.0, 0.0]
01-13 00:37:37.841  4022  4212 D SnpeWhyDistractionNativ: Frame number: 106, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:37.948  4022  4212 D SnpeWhyDistractionNativ: Frame number: 107, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:38.069  4022  4212 D SnpeWhyDistractionNativ: Frame number: 108, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7408438, 0.0, 0.0], modelConfidence = [0.65374327, 0.0, 0.0]
01-13 00:37:38.152  4022  4212 D SnpeWhyDistractionNativ: Frame number: 109, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:38.232  4022  4212 D SnpeWhyDistractionNativ: Frame number: 110, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:38.372  4022  4212 D SnpeWhyDistractionNativ: Frame number: 111, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.87553185, 0.0, 0.0], modelConfidence = [0.5413118, 0.0, 0.0]
01-13 00:37:38.436  4022  4212 D SnpeWhyDistractionNativ: Frame number: 112, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:38.534  4022  4212 D SnpeWhyDistractionNativ: Frame number: 113, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:38.671  4022  4212 D SnpeWhyDistractionNativ: Frame number: 114, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.80123407, 0.0, 0.0], modelConfidence = [0.71761644, 0.0, 0.0]
01-13 00:37:38.752  4022  4212 D SnpeWhyDistractionNativ: Frame number: 115, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:38.835  4022  4212 D SnpeWhyDistractionNativ: Frame number: 116, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:38.966  4022  4212 D SnpeWhyDistractionNativ: Frame number: 117, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7831308, 0.0, 0.0], modelConfidence = [0.72060144, 0.0, 0.0]
01-13 00:37:39.046  4022  4212 D SnpeWhyDistractionNativ: Frame number: 118, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:39.144  4022  4212 D SnpeWhyDistractionNativ: Frame number: 119, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:39.278  4022  4212 D SnpeWhyDistractionNativ: Frame number: 120, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0041701, 0.0, 0.0], modelConfidence = [0.5911672, 0.0, 0.0]
01-13 00:37:39.356  4022  4212 D SnpeWhyDistractionNativ: Frame number: 121, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
