--------- beginning of main
01-13 00:39:03.002  4423  4511 D SnpeWhyDistractionNativ: Frame number: 63, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9951822, 0.0, 0.0], modelConfidence = [0.46039066, 0.0, 0.0]
01-13 00:39:03.084  4423  4511 D SnpeWhyDistractionNativ: Frame number: 64, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:03.187  4423  4511 D SnpeWhyDistractionNativ: Frame number: 65, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:03.302  4423  4511 D SnpeWhyDistractionNativ: Frame number: 66, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9377598, 0.0, 0.0], modelConfidence = [0.54946893, 0.0, 0.0]
01-13 00:39:03.379  4423  4511 D SnpeWhyDistractionNativ: Frame number: 67, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:03.453  4423  4511 D SnpeWhyDistractionNativ: Frame number: 68, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:03.600  4423  4511 D SnpeWhyDistractionNativ: Frame number: 69, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.89122945, 0.0, 0.0], modelConfidence = [0.48892987, 0.0, 0.0]
01-13 00:39:03.665  4423  4511 D SnpeWhyDistractionNativ: Frame number: 70, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:03.771  4423  4511 D SnpeWhyDistractionNativ: Frame number: 71, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:03.908  4423  4511 D SnpeWhyDistractionNativ: Frame number: 72, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.98178107, 0.0, 0.0], modelConfidence = [0.50674075, 0.0, 0.0]
01-13 00:39:03.980  4423  4511 D SnpeWhyDistractionNativ: Frame number: 73, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:04.064  4423  4511 D SnpeWhyDistractionNativ: Frame number: 74, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:04.193  4423  4511 D SnpeWhyDistractionNativ: Frame number: 75, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.98665047, 0.0, 0.0], modelConfidence = [0.5614028, 0.0, 0.0]
01-13 00:39:04.275  4423  4511 D SnpeWhyDistractionNativ: Frame number: 76, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:04.383  4423  4511 D SnpeWhyDistractionNativ: Frame number: 77, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:04.506  4423  4511 D SnpeWhyDistractionNativ: Frame number: 78, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.089598, 0.0, 0.0], modelConfidence = [0.39363933, 0.0, 0.0]
01-13 00:39:04.588  4423  4511 D SnpeWhyDistractionNativ: Frame number: 79, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:04.704  4423  4511 D SnpeWhyDistractionNativ: Frame number: 80, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:04.825  4423  4511 D SnpeWhyDistractionNativ: Frame number: 81, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.9993062, 0.0, 0.0], modelConfidence = [0.56554997, 0.0, 0.0]
01-13 00:39:04.881  4423  4511 D SnpeWhyDistractionNativ: Frame number: 82, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:04.967  4423  4511 D SnpeWhyDistractionNativ: Frame number: 83, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:05.103  4423  4511 D SnpeWhyDistractionNativ: Frame number: 84, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0410454, 0.0, 0.0], modelConfidence = [0.51371807, 0.0, 0.0]
01-13 00:39:05.185  4423  4511 D SnpeWhyDistractionNativ: Frame number: 85, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:05.265  4423  4511 D SnpeWhyDistractionNativ: Frame number: 86, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:05.415  4423  4511 D SnpeWhyDistractionNativ: Frame number: 87, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0145549, 0.0, 0.0], modelConfidence = [0.44961104, 0.0, 0.0]
01-13 00:39:05.503  4423  4511 D SnpeWhyDistractionNativ: Frame number: 88, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:05.569  4423  4511 D SnpeWhyDistractionNativ: Frame number: 89, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:05.675  4423  4511 D SnpeWhyDistractionNativ: Frame number: 90, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.99076325, 0.0, 0.0], modelConfidence = [0.51268005, 0.0, 0.0]
01-13 00:39:05.778  4423  4511 D SnpeWhyDistractionNativ: Frame number: 91, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:05.869  4423  4511 D SnpeWhyDistractionNativ: Frame number: 92, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:06.004  4423  4511 D SnpeWhyDistractionNativ: Frame number: 93, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0539479, 0.0, 0.0], modelConfidence = [0.43236694, 0.0, 0.0]
01-13 00:39:06.071  4423  4511 D SnpeWhyDistractionNativ: Frame number: 94, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:06.169  4423  4511 D SnpeWhyDistractionNativ: Frame number: 95, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:06.311  4423  4511 D SnpeWhyDistractionNativ: Frame number: 96, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0637753, 0.0, 0.0], modelConfidence = [0.4623682, 0.0, 0.0]
01-13 00:39:06.392  4423  4511 D SnpeWhyDistractionNativ: Frame number: 97, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:06.494  4423  4511 D SnpeWhyDistractionNativ: Frame number: 98, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:06.603  4423  4511 D SnpeWhyDistractionNativ: Frame number: 99, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0980165, 0.0, 0.0], modelConfidence = [0.4015457, 0.0, 0.0]
01-13 00:39:06.670  4423  4511 D SnpeWhyDistractionNativ: Frame number: 100, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:06.766  4423  4511 D SnpeWhyDistractionNativ: Frame number: 101, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
