--------- beginning of main
01-13 00:39:53.991  4423  4511 D SnpeWhyDistractionNativ: destroyNativeObject: Destroyed why-distraction native object
--------- beginning of system
01-13 00:40:25.712  4704  4817 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:40:32.699  4704  4817 D SnpeWhyDistractionNativ: Frame number: 74, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:32.823  4704  4817 D SnpeWhyDistractionNativ: Frame number: 75, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.69501466, 0.0, 0.0], modelConfidence = [0.533483, 0.0, 0.0]
01-13 00:40:32.911  4704  4817 D SnpeWhyDistractionNativ: Frame number: 76, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:32.996  4704  4817 D SnpeWhyDistractionNativ: Frame number: 77, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:33.104  4704  4817 D SnpeWhyDistractionNativ: Frame number: 78, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6820643, 0.0, 0.0], modelConfidence = [0.59599006, 0.0, 0.0]
01-13 00:40:33.210  4704  4817 D SnpeWhyDistractionNativ: Frame number: 79, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:33.286  4704  4817 D SnpeWhyDistractionNativ: Frame number: 80, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:33.425  4704  4817 D SnpeWhyDistractionNativ: Frame number: 81, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.65602225, 0.0, 0.0], modelConfidence = [0.6385232, 0.0, 0.0]
01-13 00:40:33.493  4704  4817 D SnpeWhyDistractionNativ: Frame number: 82, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:33.599  4704  4817 D SnpeWhyDistractionNativ: Frame number: 83, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:33.713  4704  4817 D SnpeWhyDistractionNativ: Frame number: 84, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.65354115, 0.0, 0.0], modelConfidence = [0.6455387, 0.0, 0.0]
